date,open,high,low,close,volume,amount,turn,pctChg
2020-08-04,4778.4866,4807.0782,4747.7748,4775.8024,23997498500,426411345935.8,0.868387,0.094138
2020-08-05,4761.7637,4786.7031,4711.2723,4777.1089,19670054800,347407839399.1,0.711787,0.027357
2020-08-06,4779.2377,4791.8565,4691.1569,4762.7642,22785440600,404323404006.9,0.824517,-0.30028
2020-08-07,4742.2939,4749.0217,4637.8427,4707.9262,21351821600,397041212825.0,0.772617,-1.15139
2020-08-10,4681.7553,4757.6634,4646.2885,4724.8697,20378883200,371297560017.6,0.736827,0.359893
2020-08-11,4730.3748,4791.5337,4674.8642,4681.7837,20554651100,350828586241.1,0.743182,-0.911898
2020-08-12,4668.8899,4681.6206,4566.2736,4647.6446,20288723900,347298673202.0,0.73359,-0.72919
2020-08-13,4666.4901,4671.7689,4626.1033,4635.7126,15255009200,250945872578.9,0.551571,-0.256732
2020-08-14,4627.61,4708.0709,4617.632,4704.6288,14729292100,254343934256.2,0.532562,1.486637
2020-08-17,4727.1204,4838.0864,4721.3589,4815.2261,26800155600,416469154934.0,0.953069,2.350819
2020-08-18,4816.5703,4825.3861,4788.8293,4812.7564,18913985400,314395904535.5,0.683852,-0.051289
2020-08-19,4804.6655,4809.0499,4738.0086,4740.6784,19244294800,319403284708.3,0.695743,-1.497645
2020-08-20,4708.1253,4721.4357,4662.8032,4679.1544,15836863900,260486563515.0,0.572358,-1.297789
2020-08-21,4717.7874,4739.4836,4684.8101,4718.8431,14265786400,251775160233.8,0.515546,0.848202
2020-08-24,4746.4035,4769.4673,4716.6054,4755.8491,15114351200,272428686418.6,0.546202,0.784218
2020-08-25,4769.2107,4802.4122,4746.313,4761.9507,14170135100,262308788275.0,0.511926,0.128297
2020-08-26,4761.7186,4786.4249,4689.881,4706.1302,15130518000,277456360643.0,0.546622,-1.172219
2020-08-27,4718.062,4731.9351,4679.3623,4731.3451,11904285000,223631511405.6,0.430053,0.535788
2020-08-28,4727.292,4850.4884,4719.3526,4844.2652,15939976500,305047882508.6,0.574395,2.386638
2020-08-31,4870.9337,4901.2115,4816.2123,4816.2153,20256702900,357005064604.8,0.729901,-0.579033
2020-09-01,4803.3922,4842.135,4791.7829,4842.1223,13839540200,262018070577.3,0.498565,0.537912
2020-09-02,4859.0754,4863.5509,4797.5204,4843.887,15798952400,280778613751.4,0.569131,0.036445
2020-09-03,4841.502,4877.0117,4800.0577,4817.0952,14567120100,279411988792.3,0.524755,-0.553105
2020-09-04,4737.2368,4778.203,4726.5559,4770.219,12003279600,238463337878.7,0.432377,-0.973122
2020-09-07,4759.5213,4789.3031,4655.56,4669.3677,14860779100,282316394067.8,0.534997,-2.114186
2020-09-08,4683.8256,4707.8966,4639.0531,4694.3894,13919922700,249198138076.0,0.501125,0.535869
2020-09-09,4634.247,4645.1972,4558.0304,4584.5887,16227710700,244905191934.1,0.584207,-2.338977
2020-09-10,4632.0994,4647.7505,4572.2058,4581.9775,15065287800,226146354804.6,0.542331,-0.056956
2020-09-11,4572.2572,4630.8842,4563.1061,4627.2826,11530242400,198240927301.5,0.415074,0.988767
2020-09-14,4652.0539,4666.9862,4625.9877,4651.0507,10723517900,211653411810.9,0.386031,0.513651
2020-09-15,4649.4472,4691.4997,4630.5374,4688.4826,10191592500,194573684119.3,0.366882,0.804805
2020-09-16,4683.006,4690.6815,4638.4586,4657.3584,10875364100,196120184850.9,0.391497,-0.663844
2020-09-17,4642.0542,4664.9491,4601.639,4632.7142,10598363100,214146647269.6,0.381525,-0.529145
2020-09-18,4636.6422,4737.8039,4631.7045,4737.0887,16042647500,281885944229.0,0.57751,2.252988
2020-09-21,4750.7481,4752.9799,4688.7199,4691.4281,12453582700,224137912695.2,0.448309,-0.963896
2020-09-22,4654.2179,4706.2096,4622.1111,4635.7608,11967294700,202909215534.6,0.430396,-1.186575
2020-09-23,4639.6592,4665.96,4623.5528,4652.3273,9582652800,190393472276.3,0.344634,0.357363
2020-09-24,4623.9535,4631.9482,4562.2086,4563.0657,11259368300,193515873700.2,0.40493,-1.918644
2020-09-25,4582.482,4599.5387,4554.7199,4570.0216,9301515500,167457376964.0,0.334518,0.152439
2020-09-28,4582.6471,4613.6324,4571.1507,4581.9085,8504838900,159314675407.1,0.305866,0.260106
2020-09-29,4608.2926,4616.6767,4586.3537,4591.7993,8599385800,159937888502.2,0.309245,0.215866
2020-09-30,4607.5753,4634.7239,4563.4108,4587.3953,8908120000,165532220885.2,0.320265,-0.09591
2020-10-09,4663.61,4695.4041,4655.0851,4681.1412,11133751200,229926731489.9,0.400278,2.043554
2020-10-12,4705.1883,4823.2666,4704.1554,4823.1578,15578455800,307848558046.0,0.560064,3.033803
2020-10-13,4812.8989,4845.9191,4795.373,4839.201,11651633800,242172567248.5,0.41889,0.332629
2020-10-14,4830.4575,4830.4575,4795.9069,4807.1021,11190692300,229836207247.8,0.402315,-0.66331
2020-10-15,4810.7821,4833.8925,4796.2647,4798.7361,10996496200,213878285047.0,0.395155,-0.174034
2020-10-16,4798.9162,4825.5518,4765.967,4791.676,11671610200,204175130717.5,0.419368,-0.147124
2020-10-19,4823.4944,4849.605,4747.3356,4755.4879,12924636100,225392198225.0,0.464311,-0.755228
2020-10-20,4751.3694,4793.4672,4739.4583,4793.4672,9804815600,185849198017.6,0.352227,0.798642
2020-10-21,4801.6313,4801.6313,4758.8552,4792.8284,10380570300,189978697043.6,0.37291,-0.013326
2020-10-22,4780.5954,4791.8078,4725.4993,4777.9845,10135089100,194614971169.8,0.364066,-0.309711
2020-10-23,4775.4665,4802.456,4717.0984,4718.4881,10682518400,200985821991.5,0.383529,-1.24522
2020-10-26,4684.0465,4713.3945,4639.3019,4691.2359,10834327500,205518988284.4,0.388979,-0.577562
2020-10-27,4680.1371,4708.4623,4671.8536,4699.2792,9265630400,186675545690.4,0.332493,0.171454
2020-10-28,4703.0036,4753.3125,4685.6012,4737.2718,10846340200,226754264067.0,0.389205,0.808477
2020-10-29,4683.607,4803.0317,4679.2529,4772.9198,11711725000,252303504993.0,0.420239,0.752501
2020-10-30,4776.4726,4778.5089,4683.4719,4695.3338,13980230300,280783321713.1,0.501637,-1.625546
2020-11-02,4702.7457,4738.0239,4695.4436,4720.8313,14286769300,279027685157.1,0.511702,0.543039
2020-11-03,4743.1742,4793.3963,4734.1748,4777.5608,13605540800,252390556313.5,0.485667,1.201685
2020-11-04,4781.448,4825.4638,4770.5582,4813.6564,11466180600,230513773046.3,0.4093,0.755524
2020-11-05,4861.3377,4885.1118,4837.9996,4885.1118,13924459400,281951932371.0,0.496777,1.484431
2020-11-06,4897.6295,4897.6295,4845.4293,4885.7178,15363903400,305365103652.9,0.548131,0.012405
2020-11-09,4918.8609,4997.8017,4918.8609,4981.3497,19713198400,371923282063.4,0.703228,1.957377
2020-11-10,4995.4126,4995.4126,4928.9319,4953.8756,17626721400,334271459964.0,0.628795,-0.551539
2020-11-11,4937.7582,4957.5846,4901.7067,4904.8981,16447051500,303858557977.1,0.586713,-0.98867
2020-11-12,4916.7736,4926.3422,4891.51,4908.463,11811461900,227645907147.2,0.421348,0.07268
2020-11-13,4886.9778,4886.9778,4825.7578,4856.8513,13369307900,255353111737.8,0.47692,-1.051484
2020-11-16,4880.958,4904.1716,4848.6239,4904.1716,14877098000,266705031671.5,0.530707,0.9743
2020-11-17,4903.12,4909.2902,4865.3942,4894.786,15148746400,288911408551.0,0.540115,-0.19138
2020-11-18,4889.6749,4911.0876,4870.7162,4891.6716,16421661600,290727223227.2,0.585499,-0.063627
2020-11-19,4880.9224,4939.7911,4870.2005,4927.9891,13368137800,247727135000.5,0.47659,0.742435
2020-11-20,4928.2223,4947.4297,4922.5895,4943.2882,12940034100,229053679195.4,0.46133,0.310453
2020-11-23,4954.5987,5029.6515,4940.4494,5005.0273,20591518700,333633826416.7,0.734108,1.248948
2020-11-24,4997.0485,5001.0614,4960.9817,4974.2855,15663791100,264804443317.7,0.558429,-0.614218
2020-11-25,4992.7466,5004.7732,4910.7,4910.7,17034052700,277070642970.7,0.60728,-1.278284
2020-11-26,4908.3208,4925.2857,4867.8153,4919.5912,13720233800,239748145475.7,0.489135,0.181058
2020-11-27,4930.5928,4980.765,4917.3479,4980.765,16295292200,253178971224.0,0.580005,1.243473
2020-11-30,4994.1063,5055.192,4960.2519,4960.2519,26263895000,396495834420.8,0.93476,-0.411846
2020-12-01,4963.1302,5072.5494,4963.1302,5067.0983,20406563800,328451014444.2,0.726286,2.154052
2020-12-02,5072.9755,5090.6084,5043.3091,5067.1447,19543547600,310609728842.5,0.695555,0.000916
2020-12-03,5065.4531,5072.3046,5033.7887,5057.0603,17786574800,275335207429.1,0.632982,-0.199015
2020-12-04,5049.5231,5072.3865,5017.8506,5065.9163,14434716700,257798820735.0,0.513692,0.175122
2020-12-07,5065.7285,5067.8698,5014.609,5022.2351,13989621700,264657773932.9,0.497852,-0.862257
2020-12-08,5029.1063,5043.0605,4998.9218,5009.8786,12307302900,234880648439.1,0.437983,-0.246036
2020-12-09,5022.3846,5033.6417,4942.5195,4942.6986,13891696500,260772774152.9,0.494187,-1.340951
2020-12-10,4931.2933,4962.7433,4919.7696,4940.5249,12591427000,229651278357.4,0.447931,-0.043978
2020-12-11,4957.8236,4957.8236,4849.3547,4889.6292,15935769700,275212730069.9,0.565415,-1.030168
2020-12-14,4903.627,4937.2601,4887.6599,4934.8352,12080155200,247878279711.0,0.428611,0.924528
2020-12-15,4931.6019,4954.1885,4904.7926,4945.1,11834263300,248093390249.2,0.435745,0.208007
2020-12-16,4957.2971,4968.8558,4938.1932,4953.867,10677896800,229696035696.9,0.391858,0.177287
2020-12-17,4960.729,5021.6171,4950.3713,5017.4784,13338547900,270180356109.3,0.489496,1.284076
2020-12-18,5014.3211,5027.4446,4979.0051,4999.9678,12804961800,258938551535.8,0.469364,-0.348992
2020-12-21,4995.7622,5048.5074,4969.999,5046.8396,14081178200,298204296843.3,0.516144,0.937442
2020-12-22,5034.9831,5055.1348,4960.9457,4964.7727,16234497000,326758817663.3,0.594978,-1.626105
2020-12-23,4977.2994,5028.4506,4968.1509,5007.1235,14029281900,308729037473.7,0.514149,0.853026
2020-12-24,5006.0051,5033.038,4979.2371,5000.0154,11441866700,246674476188.8,0.419318,-0.14196
2020-12-25,4985.7695,5042.0978,4973.6812,5042.0137,12100697900,243992268243.3,0.443463,0.839963
2020-12-28,5042.9432,5089.3447,5037.8582,5064.4147,13691440700,281019254170.5,0.48339,0.444287
2020-12-29,5071.449,5077.4167,5034.3078,5042.9361,14119866200,279035233253.8,0.0,-0.424108
2020-12-30,5037.9848,5113.7105,5036.6288,5113.7105,14862644800,296577812603.0,0.543755,1.403436
2020-12-31,5122.4799,5215.6178,5122.4799,5211.2885,17160250900,358731371834.7,0.627887,1.908164
2021-01-04,5212.9313,5284.4343,5190.9372,5267.7181,21171138200,452796175554.0,0.774643,1.082834
2021-01-05,5245.8355,5368.5049,5234.3775,5368.5049,22493115900,498041939761.0,0.822977,1.913291
2021-01-06,5386.5144,5433.4694,5341.4304,5417.6677,19377344400,444434377137.3,0.708976,0.915763
2021-01-07,5428.3944,5513.6568,5413.3526,5513.6568,21987208000,473385353695.8,0.804359,1.771779
